#{"t_start": 1753871221.667517, "env_id": "None"}
r,l,t
-2.0,20,3.837305
-2.0,20,3.843865
-2.0,20,3.852175
-10.0,1,3.852544
-2.0,20,3.859477
-2.0,20,3.866359
-10.4,5,3.868203
-10.0,1,3.868387
-10.9,10,3.87174
-10.4,5,3.873421
-10.1,2,3.874636
-11.8,19,3.881062
-10.3,4,3.881766
-10.2,3,3.883224
-11.0,11,3.886642
-10.6,7,3.889444
-2.0,20,3.895988
-11.2,13,3.899915
-2.0,20,3.906505
-11.2,13,3.911119
-10.7,8,3.913298
-2.0,20,3.919888
-2.0,20,3.92647
-2.0,20,3.933046
-10.0,1,3.934129
-10.4,5,3.935753
-10.6,7,3.937708
-2.0,20,3.944391
-2.0,20,3.950974
-2.0,20,3.957543
-11.2,13,3.962173
-10.9,10,3.965424
-2.0,20,3.971906
-2.0,20,3.978469
-2.0,20,3.985081
-2.0,20,3.99165
-2.0,20,3.998334
-2.0,20,4.004908
-2.0,20,4.011387
-11.5,16,4.017861
-10.1,2,4.018197
-11.8,19,4.025462
-10.8,9,4.028651
-10.1,2,4.028982
-2.0,20,4.03581
-2.0,20,4.042381
-2.0,20,4.048972
-2.0,20,4.05557
-2.0,20,4.062057
-10.3,4,4.063597
-10.0,1,4.06377
-10.0,1,4.063938
-10.0,1,4.064982
-10.0,1,4.06521
-11.5,16,4.07032
-10.0,1,4.070508
-10.9,10,4.073791
-2.0,20,4.080284
-10.0,1,4.080518
-10.0,1,4.081583
-2.0,20,4.088078
-2.0,20,4.09459
-2.0,20,4.101259
-2.0,20,4.107916
-10.3,4,4.108632
-10.0,1,4.109668
-10.0,1,4.109849
-10.0,1,4.110019
-10.0,1,4.110187
-2.0,20,4.116672
-3.9,20,4.123182
-2.0,20,4.129693
6.1,10,4.133048
-10.2,3,4.134391
-10.3,4,4.135864
-10.0,1,4.136045
-10.8,9,4.139131
-3.9,20,4.145544
-2.0,20,4.152132
-11.8,19,4.157677
-2.0,20,4.164345
-2.0,20,4.17099
-3.9,20,4.177625
-2.0,20,4.18555
-2.0,20,4.192849
-2.0,20,4.199779
-2.0,20,4.206408
-2.0,20,4.212931
-3.9,20,4.219703
-10.8,9,4.222925
-10.6,7,4.225769
-10.8,9,4.228031
-3.9,20,4.234609
-10.1,2,4.23585
-10.0,1,4.236029
-10.0,1,4.236199
-10.0,1,4.236368
-11.4,15,4.24123
-2.0,20,4.24766
-10.2,3,4.249102
-11.6,17,4.254257
-2.0,20,4.260721
-2.0,20,4.267282
-2.0,20,4.273925
-2.0,20,4.280428
-2.0,20,4.287002
-3.9,20,4.293586
-2.0,20,4.300193
-2.0,20,4.30681
-2.0,20,4.313311
-2.0,20,4.319862
-2.0,20,4.32638
-2.0,20,4.333391
-2.0,20,4.339962
-2.0,20,4.346487
-11.0,11,4.351764
-10.0,1,4.351958
7.0,1,4.352134
-2.0,20,4.359477
-10.5,6,4.36138
-11.5,16,4.366818
-10.0,1,4.367941
-2.0,20,4.374504
-2.0,20,4.38119
-11.5,16,4.386481
-10.0,1,4.386665
-2.0,20,4.393207
-11.9,20,4.399792
-2.0,20,4.406321
-2.0,20,4.412909
-10.9,10,4.416361
-11.1,12,4.419926
-2.0,20,4.426347
-5.8,20,4.432875
-11.4,15,4.437842
-11.5,16,4.443832
-10.2,3,4.444325
-2.0,20,4.450839
-10.5,6,4.452687
-2.0,20,4.459134
-2.0,20,4.465667
-2.0,20,4.472267
-2.0,20,4.478752
-2.0,20,4.485351
-2.0,20,4.491905
-2.0,20,4.498579
-3.9,20,4.505139
-2.0,20,4.511666
-2.0,20,4.519439
-2.0,20,4.526692
-10.2,3,4.528171
-10.1,2,4.528495
-10.1,2,4.529707
-10.1,2,4.530034
-10.0,1,4.530201
7.0,1,4.531231
-10.2,3,4.531774
-10.0,1,4.531986
-10.0,1,4.533284
-10.0,1,4.533474
-10.0,1,4.533648
-10.2,3,4.534981
-10.3,4,4.535617
-10.0,1,4.536647
-10.3,4,4.537279
-11.5,16,4.543278
-10.6,7,4.545248
-10.9,10,4.548574
-10.3,4,4.550137
-10.1,2,4.550472
-10.0,1,4.550645
-10.0,1,4.55171
-2.0,20,4.558257
-2.0,20,4.56482
7.0,1,4.565112
-2.0,20,4.571739
-2.0,20,4.578237
-2.0,20,4.584843
-2.0,20,4.59136
-2.0,20,4.59786
-2.0,20,4.604466
-2.0,20,4.611069
-2.0,20,4.617601
-2.0,20,4.624211
-2.0,20,4.630808
-2.0,20,4.63737
-11.1,12,4.640977
-10.1,2,4.642163
-10.0,1,4.642348
-10.1,2,4.642673
-10.1,2,4.643846
-10.0,1,4.644025
-10.0,1,4.644197
-10.6,7,4.646128
-10.0,1,4.647145
-10.0,1,4.647328
-10.1,2,4.647653
-10.0,1,4.647823
-10.1,2,4.649033
-10.0,1,4.649216
-2.0,20,4.6557
-2.0,20,4.662301
-2.0,20,4.669059
-11.5,16,4.674186
-2.0,20,4.680675
-11.6,17,4.688471
-2.0,20,4.695229
-2.0,20,4.702198
-2.0,20,4.708818
-13.4,16,4.713947
-2.0,20,4.720525
-11.6,17,4.725745
-2.0,20,4.732272
-2.0,20,4.738918
-2.0,20,4.745469
-10.0,1,4.745704
-10.0,1,4.74673
-10.3,4,4.747365
-2.0,20,4.753931
-2.0,20,4.760545
-10.3,4,4.762082
-10.1,2,4.763254
-10.0,1,4.763438
-10.1,2,4.763761
-11.6,17,4.769955
-10.1,2,4.770297
-2.0,20,4.776814
-11.5,16,4.781876
-2.0,20,4.788363
-11.4,15,4.79324
-10.0,1,4.793417
-10.1,2,4.794591
-2.0,20,4.801116
-2.0,20,4.807604
-2.0,20,4.814881
-2.0,20,4.82146
-2.0,20,4.827976
-10.4,5,4.829726
-10.0,1,4.829911
-10.2,3,4.83125
-10.0,1,4.831434
-10.1,2,4.831837
-11.7,18,4.838042
-10.1,2,4.838369
-10.1,2,4.839544
-10.2,3,4.840031
-10.5,6,4.841817
-10.0,1,4.842832
-10.0,1,4.843014
-10.0,1,4.843186
-2.0,20,4.850521
-10.1,2,4.85091
-10.0,1,4.851995
-10.0,1,4.852187
-10.2,3,4.852664
-2.0,20,4.859532
-2.0,20,4.866671
-2.0,20,4.873364
-2.0,20,4.879889
-11.1,12,4.884787
-10.2,3,4.885287
-10.1,2,4.886504
-2.0,20,4.893062
-2.0,20,4.899774
-2.0,20,4.906348
-2.0,20,4.912877
-2.0,20,4.919505
-2.0,20,4.926101
-2.0,20,4.932745
-2.0,20,4.939363
-11.3,14,4.94416
-10.3,4,4.944796
-10.7,8,4.947752
-10.0,1,4.947925
-10.0,1,4.948093
-10.6,7,4.95097
-10.8,9,4.954087
-10.6,7,4.956052
-10.5,6,4.957915
-10.0,1,4.958092
-10.5,6,4.960733
-11.9,20,4.967258
-11.8,19,4.97273
-5.3,5,4.974379
-2.0,20,4.980868
-2.0,20,4.987489
-2.0,20,4.993991
-3.9,20,5.000697
-11.6,17,5.006795
-2.0,20,5.013353
-10.1,2,5.013744
-2.0,20,5.021626
-11.0,11,5.025675
-2.0,20,5.032429
-11.1,12,5.037095
-10.0,1,5.037279
-10.0,1,5.03745
-10.0,1,5.037621
-10.2,3,5.038977
-10.8,9,5.042095
-10.2,3,5.042584
-10.0,1,5.043699
-2.0,20,5.050415
-2.0,20,5.057073
-2.0,20,5.063687
-2.0,20,5.070337
-2.0,20,5.076919
-10.0,1,5.077162
-10.2,3,5.077635
-2.0,20,5.0842
-10.3,4,5.085784
-11.8,19,5.092132
-10.2,3,5.093446
-2.0,20,5.099933
-11.8,19,5.105478
-10.3,4,5.106995
-10.0,1,5.107192
-10.0,1,5.108213
-10.0,1,5.108395
-10.0,1,5.108566
-10.2,3,5.109876
-2.0,20,5.116399
-2.0,20,5.122914
-2.0,20,5.129433
-10.8,9,5.131775
-10.0,1,5.132802
-2.0,20,5.139362
-2.0,20,5.145915
-13.8,20,5.152481
-10.0,1,5.15268
-10.0,1,5.152855
-10.1,2,5.153175
-10.3,4,5.154656
-10.0,1,5.154829
-10.0,1,5.155854
-10.0,1,5.156037
-11.5,16,5.161045
-2.0,20,5.167609
-2.0,20,5.174075
-2.0,20,5.180536
-2.0,20,5.188164
-11.5,16,5.193823
-2.0,20,5.200775
-2.0,20,5.20736
-10.6,7,5.210256
-10.4,5,5.211892
-11.1,12,5.215509
-10.2,3,5.216843
-10.2,3,5.217333
-2.0,20,5.223846
-3.9,20,5.230346
-11.8,19,5.236924
-2.0,20,5.243453
-2.0,20,5.25014
-2.0,20,5.256713
-2.0,20,5.263237
-2.0,20,5.269899
-2.0,20,5.276502
-2.0,20,5.2832
-10.8,9,5.286399
-10.0,1,5.286579
-10.1,2,5.286904
-2.0,20,5.293338
-10.7,8,5.29632
-11.0,11,5.299761
-10.0,1,5.29994
-10.3,4,5.30143
-10.8,9,5.304546
-11.7,18,5.310767
-2.0,20,5.317264
-2.0,20,5.323834
-2.0,20,5.330354
-10.4,5,5.332243
-2.0,20,5.338724
-2.0,20,5.345287
-11.6,17,5.351847
-10.3,4,5.353427
-10.6,7,5.355537
-10.0,1,5.355719
-2.0,20,5.362375
-10.2,3,5.363791
-2.0,20,5.370781
-11.0,11,5.374252
-10.1,2,5.375433
-2.0,20,5.382077
-10.0,1,5.382491
-11.7,18,5.387997
-11.0,11,5.392271
-2.0,20,5.39891
-2.0,20,5.405493
-2.0,20,5.412027
-2.0,20,5.418691
-11.0,11,5.422155
-2.0,20,5.428671
-2.0,20,5.435319
-2.0,20,5.441823
